449 MSEC,ICOUNT,time,ft/s
3889.789,12541,3.889789,17.4872208770514
3911.447,12631,3.911447,17.3146181549544
3929.492,12707,3.929492,17.548720790616
3948.836,12782,3.948836,16.1548800661707
3968.952,12855,3.968952,15.1206336581159
3988.945,12924,3.988945,14.3800330115541
4008.498,12988,4.008498,13.6381458940658
4028.968,13053,4.028968,13.2307441784727
4048.467,13114,4.048467,13.0348564883668
4069.135,13179,4.069135,13.1039932907554
4090.088,13245,4.090088,13.124612227366
4109.295,13302,4.109295,12.3652834903942
4128.937,13359,4.128937,12.0914367172387
4148.769,13412,4.148769,11.1352023665455
4168.755,13463,4.168755,10.632442709897
4189.063,13511,4.189063,9.84833563127832
4208.819,13556,4.208819,9.49078760882755
4232.047,13608,4.232047,9.32782274266724
4248.949,13645,4.248949,9.12120853547901
4268.993,13685,4.268993,8.31504024479446
4289.34,13725,4.28934,8.19121574024027
4309.185,13761,4.309185,7.55857898715032
4330.058,13796,4.330058,6.98669732828708
4348.834,13826,4.348834,6.65743502343423
4369.292,13857,4.369292,6.31374849284697
4389.678,13886,4.389678,5.92727034893242
4409.259,13914,4.409259,5.95815671654491
4433.661,13946,4.433661,5.46403300275933
4449.939,13966,4.449939,5.11938403571275
4470.183,13988,4.470183,4.52809062767576
4490.375,14010,4.490375,4.53975171685156
4509.312,14029,4.509312,4.18052841879216
4529.67,14048,4.52967,3.88872515309294
4549.351,14066,4.549351,3.81078197246083
4569.753,14082,4.569753,3.26765349802306
4592.696,14100,4.592696,3.26897092795185
4610.069,14112,4.610069,2.87802912565467
4629.922,14126,4.629922,2.93826289897425
4651.015,14139,4.651015,2.56799254096927
4669.941,14150,4.669941,2.42171263517566
4689.279,14160,4.689279,2.15465232530072
4708.886,14170,4.708886,2.1250913789293
4728.863,14179,4.728863,1.87715873254244
4748.638,14187,4.748638,1.68563000421411
4769.554,14195,4.769554,1.59367629247146
4789.255,14202,4.789255,1.48046630458691
4809.986,14209,4.809986,1.40691074558232
4828.981,14214,4.828981,1.09677985434764
4849.006,14219,4.849006,1.04036620890551
4869.794,14224,4.869794,1.0021807453018
4889.159,14228,4.889159,0.860659264996997
4911.841,14232,4.911841,0.734797049055028
4928.857,14235,4.928857,0.734602726845338
4949.262,14238,4.949262,0.612594952217601
4969.047,14240,4.969047,0.421194507623624
4988.879,14242,4.988879,0.420196315718697
5012.727,14244,5.012727,0.349435312534944
5029.052,14245,5.029052,0.255232261357838
5049.863,14246,5.049863,0.200214630083444
5069.403,14247,5.069403,0.21323780279768
5089.238,14247,5.089238,0
5109.234,14247,5.109234,0
5129.154,14247,5.129154,0
5149.728,14247,5.149728,0
5169.487,14246,5.169487,-0.210874369485635
5189.307,14246,5.189307,0
5209.202,14246,5.209202,0
5229.529,14245,5.229529,-0.204981879601841
5249.334,14245,5.249334,0
5269.354,14244,5.269354,-0.208125208125204
5289.154,14244,5.289154,0
5309.42,14244,5.30942,0
5329.722,14244,5.329722,0
5349.104,14244,5.349104,0
5369.326,14244,5.369326,0
5389.262,14244,5.389262,0
5411.501,14244,5.411501,0
5430.399,14244,5.430399,0
5449.549,14244,5.449549,0
5469.465,14244,5.469465,0
5489.309,14244,5.489309,0
5515.257,14245,5.515257,0.160577565387188
5529.11,14245,5.52911,0
5549.523,14245,5.549523,0
5569.201,14245,5.569201,0
5589.043,14245,5.589043,0
5609.013,14245,5.609013,0
5630.465,14245,5.630465,0
5648.903,14244,5.648903,-0.225982572224029
5669.089,14244,5.669089,0
5689.322,14244,5.689322,0
5708.969,14244,5.708969,0
5730.971,14244,5.730971,0
5749.241,14244,5.749241,0
